交易日期,开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅,成交量(万股),成交额(万),持仓量
2023-07-11,"3,853.80","3,870.65","3,844.52","3,869.49",25.16,0.65,293.80,8.22,"865,107.16","17,758,569.44",
2023-07-10,"3,841.56","3,865.46","3,831.92","3,844.33",18.63,0.49,268.64,7.51,"920,334.41","18,536,081.31",
2023-07-07,"3,831.60","3,844.84","3,819.08","3,825.70",-17.06,-0.44,250.01,6.99,"1,009,069.20","17,391,856.07",
2023-07-06,"3,857.03","3,876.89","3,836.46","3,842.75",-26.05,-0.67,267.07,7.47,"1,001,218.42","18,474,242.09",
2023-07-05,"3,895.19","3,899.52","3,864.13","3,868.81",-30.21,-0.77,293.12,8.2,"976,363.84","18,840,026.51",
2023-07-04,"3,888.03","3,899.98","3,878.40","3,899.01",6.13,0.16,323.33,9.04,"1,094,945.27","21,633,561.14",
2023-07-03,"3,853.29","3,897.33","3,853.29","3,892.88",50.43,1.31,317.20,8.87,"1,331,580.51","25,687,652.02",
2023-06-30,"3,816.33","3,860.03","3,813.55","3,842.45",20.61,0.54,266.77,7.46,"1,012,684.29","20,814,627.29",
2023-06-29,"3,836.73","3,840.71","3,817.38","3,821.84",-18.96,-0.49,246.16,6.88,"982,892.74","20,411,003.14",
2023-06-28,"3,836.61","3,846.85","3,808.16","3,840.80",-4.63,-0.12,265.11,7.41,"1,070,215.41","20,618,795.99",
2023-06-27,"3,811.69","3,851.90","3,806.32","3,845.43",35.74,0.94,269.75,7.54,"1,169,926.81","21,009,771.37",
2023-06-26,"3,833.44","3,841.29","3,801.05","3,809.70",-54.34,-1.41,234.01,6.54,"1,339,904.19","24,771,384.58",
2023-06-21,"3,909.10","3,920.13","3,864.03","3,864.03",-60.21,-1.53,288.35,8.06,"1,183,465.75","24,363,070.56",
2023-06-20,"3,926.09","3,937.49","3,918.47","3,924.24",-6.67,-0.17,348.55,9.75,"1,225,203.18","26,627,408.13",
2023-06-19,"3,957.03","3,957.03","3,922.47","3,930.91",-32.44,-0.82,355.22,9.93,"1,349,058.48","26,821,306.86",
