指标名称,USDCNH:即期汇率
2012-04-30,6.3004999999999995
2012-05-01,6.3
2012-05-02,6.3058
2012-05-03,6.3034
2012-05-04,6.305
2012-05-07,6.309
2012-05-08,6.3082
2012-05-09,6.3146
2012-05-10,6.313
2012-05-11,6.3148
2012-05-14,6.3225
2012-05-15,6.3212
2012-05-16,6.323
2012-05-17,6.3256
2012-05-18,6.3246
2012-05-21,6.323
2012-05-22,6.3262
2012-05-23,6.333900000000001
2012-05-24,6.343100000000001
2012-05-25,6.346499999999999
2012-05-28,6.3426
2012-05-29,6.347
2012-05-30,6.3596
2012-05-31,6.3706
2012-06-01,6.368099999999999
2012-06-04,6.3652
2012-06-05,6.366
2012-06-06,6.358
2012-06-07,6.358
2012-06-08,6.374099999999999
2012-06-11,6.3712
2012-06-12,6.371100000000001
2012-06-13,6.37
2012-06-14,6.368
2012-06-15,6.373100000000001
2012-06-18,6.365
2012-06-19,6.357
2012-06-20,6.36
2012-06-21,6.3706
2012-06-22,6.3698
2012-06-25,6.373
2012-06-26,6.3666
2012-06-27,6.363
2012-06-28,6.3646
2012-06-29,6.355100000000001
2012-07-02,6.354
2012-07-03,6.352
2012-07-04,6.3485
2012-07-05,6.3616
2012-07-06,6.3726
2012-07-09,6.3616
2012-07-10,6.3616
2012-07-11,6.3616
2012-07-12,6.3738
2012-07-13,6.3728
2012-07-16,6.375100000000001
2012-07-17,6.375100000000001
2012-07-18,6.372
2012-07-19,6.3726
2012-07-20,6.3736
2012-07-23,6.386899999999999
2012-07-24,6.3886
2012-07-25,6.388
2012-07-26,6.381
2012-07-27,6.382499999999999
2012-07-30,6.381
2012-07-31,6.3798
2012-08-01,6.3808
2012-08-02,6.3900999999999994
2012-08-03,6.3779
2012-08-06,6.375500000000001
2012-08-07,6.376
2012-08-08,6.3713
2012-08-09,6.365
2012-08-10,6.366300000000001
2012-08-13,6.3649
2012-08-14,6.3648
2012-08-15,6.3698
2012-08-16,6.3696
2012-08-17,6.3645
2012-08-20,6.364
2012-08-21,6.357500000000001
2012-08-22,6.3574
2012-08-23,6.3576
2012-08-24,6.361
2012-08-27,6.361
2012-08-28,6.361
2012-08-29,6.3576
2012-08-30,6.3552
2012-08-31,6.3557
2012-09-03,6.351100000000001
2012-09-04,6.349
2012-09-05,6.3496
2012-09-06,6.346
2012-09-07,6.3444
2012-09-10,6.345
2012-09-11,6.3382
2012-09-12,6.338
2012-09-13,6.3291
2012-09-14,6.3258
2012-09-17,6.324
2012-09-18,6.3314
2012-09-19,6.3166
2012-09-20,6.315
2012-09-21,6.3136
2012-09-24,6.3166
2012-09-25,6.315
2012-09-26,6.3055
2012-09-27,6.3056
2012-09-28,6.3063
2012-10-01,6.3046
2012-10-02,6.303100000000001
2012-10-03,6.3076
2012-10-04,6.301699999999999
2012-10-05,6.295699999999999
2012-10-08,6.2938
2012-10-09,6.2936
2012-10-10,6.2916
2012-10-11,6.2807
2012-10-12,6.2736
2012-10-15,6.267
2012-10-16,6.2624
2012-10-17,6.2526
2012-10-18,6.256
2012-10-19,6.257
2012-10-22,6.2494
2012-10-23,6.254
2012-10-24,6.249
2012-10-25,6.2374
2012-10-26,6.245299999999999
