指标名称,上证综合指数
2010-01-04,3243.76
2010-01-05,3282.179
2010-01-06,3254.215
2010-01-07,3192.776
2010-01-08,3195.997
2010-01-11,3212.75
2010-01-12,3273.966
2010-01-13,3172.658
2010-01-14,3215.55
2010-01-15,3224.152
2010-01-18,3237.098
2010-01-19,3246.874
2010-01-20,3151.85
2010-01-21,3158.863
2010-01-22,3128.588
2010-01-25,3094.411
2010-01-26,3019.394
2010-01-27,2986.607
2010-01-28,2994.143
2010-01-29,2989.292
2010-02-01,2941.36
2010-02-02,2934.713
2010-02-03,3003.835
2010-02-04,2995.308
2010-02-05,2939.402
2010-02-08,2935.174
2010-02-09,2948.842
2010-02-10,2982.5
2010-02-11,2985.499
2010-02-12,3018.133
2010-02-22,3003.398
2010-02-23,2982.575
2010-02-24,3022.177
2010-02-25,3060.618
2010-02-26,3051.943
2010-03-01,3087.842
2010-03-02,3073.108
2010-03-03,3097.005
2010-03-04,3023.373
2010-03-05,3031.065
2010-03-08,3053.232
2010-03-09,3069.141
2010-03-10,3048.927
2010-03-11,3051.282
2010-03-12,3013.412
2010-03-15,2976.939
2010-03-16,2992.841
2010-03-17,3050.479
2010-03-18,3046.089
2010-03-19,3067.75
2010-03-22,3074.576
2010-03-23,3053.125
2010-03-24,3056.808
2010-03-25,3019.176
2010-03-26,3059.715
2010-03-29,3123.798
2010-03-30,3128.468
2010-03-31,3109.105
2010-04-01,3147.416
2010-04-02,3157.957
2010-04-06,3158.681
2010-04-07,3148.222
2010-04-08,3118.709
2010-04-09,3145.347
2010-04-12,3129.263
2010-04-13,3161.251
2010-04-14,3166.183
2010-04-15,3164.966
2010-04-16,3130.302
2010-04-19,2980.297
2010-04-20,2979.533
2010-04-21,3033.278
2010-04-22,2999.484
2010-04-23,2983.537
2010-04-26,2969.503
2010-04-27,2907.928
2010-04-28,2900.331
2010-04-29,2868.432
2010-04-30,2870.611
2010-05-04,2835.277
2010-05-05,2857.151
2010-05-06,2739.702
2010-05-07,2688.383
2010-05-10,2698.757
2010-05-11,2647.574
2010-05-12,2655.714
2010-05-13,2710.507
2010-05-14,2696.629
2010-05-17,2559.931
2010-05-18,2594.783
2010-05-19,2587.807
2010-05-20,2555.94
2010-05-21,2583.522
