指标名称,基础金价:中国黄金
2012-02-17,352.0
2012-02-20,353.0
2012-02-22,356.1
2012-02-23,360.1
2012-02-24,361.0
2012-02-27,360.6
2012-02-28,359.3
2012-02-29,362.9
2012-03-01,350.7
2012-03-02,350.5
2012-03-05,349.3
2012-03-06,347.8
2012-03-07,343.0
2012-03-08,344.1
2012-03-09,347.8
2012-03-12,349.0
2012-03-13,348.0
2012-03-14,343.7
2012-03-15,337.8
2012-03-16,340.7
2012-03-19,340.9
2012-03-20,339.5
2012-03-21,339.5
2012-03-22,338.5
2012-03-23,337.5
2012-03-26,340.1
2012-03-27,344.0
2012-03-28,343.0
2012-03-29,339.0
2012-03-30,339.2
2012-03-31,340.2
2012-04-01,340.2
2012-04-05,332.1
2012-04-06,332.8
2012-04-09,335.2
2012-04-10,337.5
2012-04-11,337.9
2012-04-12,338.4
2012-04-13,340.9
2012-04-16,337.1
2012-04-17,336.5
2012-04-18,336.8
2012-04-19,335.1
2012-04-20,335.3
2012-04-23,335.3
2012-04-24,334.5
2012-04-25,335.0
2012-04-26,335.4
2012-04-27,337.3
2012-04-28,338.5
2012-05-02,337.5
2012-05-03,335.8
2012-05-04,334.0
2012-05-07,334.1
2012-05-08,333.9
2012-05-09,326.2
2012-05-10,325.6
2012-05-11,324.3
2012-05-14,323.6
2012-05-15,318.5
2012-05-16,316.5
2012-05-17,316.8
2012-05-18,322.6
2012-05-21,326.5
2012-05-22,325.8
2012-05-23,319.8
2012-05-24,319.8
2012-05-25,319.2
2012-05-28,323.8
2012-05-29,323.5
2012-05-30,319.0
2012-05-31,321.7
2012-06-01,320.6
2012-06-04,332.9
2012-06-05,332.4
2012-06-06,333.8
2012-06-07,332.8
2012-06-08,323.0
2012-06-11,329.1
2012-06-12,327.8
2012-06-13,331.0
2012-06-14,332.6
2012-06-15,333.7
2012-06-18,333.0
2012-06-19,333.7
2012-06-20,332.5
2012-06-21,329.1
2012-06-25,323.9
2012-06-26,326.0
2012-06-27,323.7
2012-06-28,323.5
2012-06-29,321.8
2012-07-02,326.5
2012-07-03,328.0
2012-07-04,331.5
2012-07-05,331.7
2012-07-06,330.0
2012-07-09,325.8
2012-07-10,326.5
2012-07-11,324.6
2012-07-12,323.5
2012-07-13,323.7
2012-07-16,326.9
2012-07-17,328.0
2012-07-18,326.5
2012-07-19,325.2
2012-07-20,326.1
2012-07-23,325.5
2012-07-24,325.0
2012-07-25,326.5
2012-07-26,330.2
2012-07-27,332.0
2012-07-30,333.1
2012-07-31,333.1
2012-08-01,331.3
2012-08-02,329.5
2012-08-03,328.0
2012-08-06,330.3
2012-08-07,331.5
2012-08-08,331.4
2012-08-09,331.8
2012-08-10,331.8
2012-08-13,333.0
2012-08-14,331.5
2012-08-15,329.4
2012-08-16,330.1
2012-08-17,331.7
2012-08-20,332.5
2012-08-21,332.6
2012-08-22,336.0
2012-08-23,340.5
2012-08-24,341.5
2012-08-27,343.5
2012-08-28,340.5
2012-08-29,341.5
2012-08-30,339.8
2012-08-31,339.5
2012-09-03,346.0
2012-09-04,346.8
2012-09-05,346.6
2012-09-06,347.0
2012-09-07,346.5
2012-09-10,355.0
2012-09-11,353.6
2012-09-12,354.5
2012-09-13,353.3
2012-09-14,361.8
2012-09-17,361.9
2012-09-18,358.0
2012-09-19,359.8
2012-09-20,359.3
2012-09-21,360.0
2012-09-24,357.4
2012-09-25,358.8
2012-09-26,358.9
2012-09-27,356.9
2012-09-28,360.4
2012-09-29,360.5
2012-10-08,359.1
2012-10-09,360.5
2012-10-10,358.0
2012-10-11,357.0
2012-10-12,358.4
2012-10-15,353.1
2012-10-16,351.4
2012-10-17,353.9
2012-10-18,353.0
2012-10-19,350.5
2012-10-22,348.0
2012-10-23,348.2
2012-10-24,346.0
2012-10-25,344.3
2012-10-26,345.1
2012-10-29,345.1
2012-10-30,344.8
2012-10-31,344.9
2012-11-01,346.1
2012-11-02,344.8
2012-11-05,338.4
2012-11-06,339.5
2012-11-07,346.2
2012-11-08,346.2
2012-11-09,348.9
2012-11-12,349.0
2012-11-13,346.4
2012-11-14,347.0
2012-11-15,346.4
2012-11-16,345.1
2012-11-19,346.3
2012-11-20,348.3
2012-11-21,347.4
2012-11-22,347.5
2012-11-23,347.2
2012-11-26,350.2
2012-11-27,350.5
2012-11-28,349.0
2012-11-29,345.5
2012-11-30,345.9
2012-12-03,345.0
2012-12-04,343.5
2012-12-05,340.7
2012-12-06,339.7
2012-12-07,341.8
2012-12-10,343.0
2012-12-11,343.3
2012-12-12,344.1
2012-12-13,342.7
2012-12-14,342.0
2012-12-17,341.0
2012-12-18,341.5
2012-12-19,337.0
2012-12-20,335.3
2012-12-21,329.5
2012-12-24,333.1
2012-12-25,334.1
2012-12-26,333.3
2012-12-27,333.9
2012-12-28,335.0
2012-12-31,333.6
2013-01-04,331.7
2013-01-05,333.3
2013-01-06,333.3
2013-01-07,334.4
2013-01-08,332.0
2013-01-09,333.5
2013-01-10,333.4
2013-01-11,336.3
2013-01-14,335.0
2013-01-15,336.5
2013-01-16,338.5
2013-01-17,337.9
2013-01-18,339.0
2013-01-21,339.8
2013-01-22,339.9
2013-01-23,340.7
2013-01-24,338.5
2013-01-25,336.0
2013-01-28,334.8
2013-01-29,334.5
2013-01-30,335.9
2013-01-31,338.4
2013-02-01,335.0
2013-02-04,336.7
2013-02-05,337.5
2013-02-06,337.1
2013-02-07,338.0
2013-02-16,325.2
2013-02-17,325.2
2013-02-18,327.0
2013-02-19,327.4
2013-02-20,326.5
2013-02-21,317.4
2013-02-22,321.5
2013-02-25,322.1
2013-02-26,325.2
2013-02-27,327.0
2013-02-28,325.0
2013-03-01,322.0
2013-03-04,321.0
2013-03-05,320.3
2013-03-06,320.4
2013-03-07,319.9
2013-03-08,317.9
2013-03-11,319.5
2013-03-12,319.5
2013-03-13,321.5
2013-03-14,320.0
2013-03-15,321.0
2013-03-18,321.4
2013-03-19,322.2
2013-03-20,323.1
2013-03-21,322.3
2013-03-22,323.5
2013-03-25,322.7
2013-03-26,321.5
2013-03-27,321.1
2013-03-28,321.8
2013-03-29,319.9
2013-04-01,320.5
2013-04-02,321.3
2013-04-03,314.1
2013-04-07,317.0
2013-04-08,316.5
2013-04-09,315.5
2013-04-10,317.5
2013-04-11,312.2
2013-04-12,312.7
2013-04-15,290.0
2013-04-16,270.5
2013-04-17,275.9
2013-04-18,273.7
2013-04-19,279.8
2013-04-22,288.5
2013-04-23,291.2
2013-04-24,289.0
2013-04-25,298.5
2013-04-26,305.0
2013-04-27,298.0
2013-04-28,298.0
2013-05-02,295.2
2013-05-03,298.0
2013-05-06,298.0
2013-05-07,297.5
2013-05-08,296.5
2013-05-09,298.0
2013-05-10,296.8
2013-05-13,293.0
2013-05-14,294.0
2013-05-15,290.0
2013-05-16,283.7
2013-05-17,281.0
2013-05-20,273.5
2013-05-21,281.7
2013-05-22,282.5
2013-05-23,278.5
2013-05-24,281.0
2013-05-27,280.5
2013-05-28,281.5
2013-05-29,279.5
2013-05-30,280.2
2013-05-31,283.3
2013-06-03,279.2
2013-06-04,281.5
2013-06-05,280.1
2013-06-06,279.1
2013-06-07,281.4
2013-06-08,275.3
2013-06-09,275.3
2013-06-13,277.6
2013-06-14,277.5
2013-06-17,277.9
2013-06-18,277.3
2013-06-19,274.7
2013-06-20,270.2
2013-06-21,261.0
2013-06-24,262.0
2013-06-25,260.4
2013-06-26,254.0
2013-06-27,251.0
2013-06-28,243.7
2013-07-01,252.5
2013-07-02,255.5
2013-07-03,255.0
2013-07-04,255.4
2013-07-05,254.4
2013-07-08,249.5
2013-07-09,255.4
2013-07-10,252.2
2013-07-11,259.5
2013-07-12,259.9
2013-07-15,260.8
2013-07-16,259.4
2013-07-17,260.2
2013-07-18,256.9
2013-07-19,258.5
2013-07-22,264.0
2013-07-23,268.3
2013-07-24,269.1
2013-07-25,265.5
2013-07-26,268.1
2013-07-29,266.0
2013-07-30,266.2
