指标名称,期货收盘价(活跃合约):COMEX黄金
2010-01-04,1120.8
2010-01-05,1121.1
2010-01-06,1138.9
2010-01-07,1136.1
2010-01-08,1141.4
2010-01-11,1153.9
2010-01-12,1131.7
2010-01-13,1139.2
2010-01-14,1145.3
2010-01-15,1132.7
2010-01-19,1142.1
2010-01-20,1114.5
2010-01-21,1105.1
2010-01-22,1091.7
2010-01-25,1097.7
2010-01-26,1100.4
2010-01-27,1086.6
2010-01-28,1085.8
2010-01-29,1084.8
2010-02-01,1106.0
2010-02-02,1119.0
2010-02-03,1113.0
2010-02-04,1064.0
2010-02-05,1053.8
2010-02-08,1067.3
2010-02-09,1078.3
2010-02-10,1077.4
2010-02-11,1095.8
2010-02-12,1091.1
2010-02-16,1120.9
2010-02-17,1121.3
2010-02-18,1119.9
2010-02-19,1123.3
2010-02-22,1114.3
2010-02-23,1104.4
2010-02-24,1098.4
2010-02-25,1109.7
2010-02-26,1120.1
2010-03-01,1119.5
2010-03-02,1138.6
2010-03-03,1144.6
2010-03-04,1134.4
2010-03-05,1136.5
2010-03-08,1125.3
2010-03-09,1123.6
2010-03-10,1109.4
2010-03-11,1109.5
2010-03-12,1103.0
2010-03-15,1106.6
2010-03-16,1123.6
2010-03-17,1125.3
2010-03-18,1128.6
2010-03-19,1108.8
2010-03-22,1100.7
2010-03-23,1104.9
2010-03-24,1089.9
2010-03-25,1094.1
2010-03-26,1105.4
2010-03-29,1111.5
2010-03-30,1105.7
2010-03-31,1114.5
2010-04-01,1126.1
2010-04-05,1133.8
2010-04-06,1136.0
2010-04-07,1153.0
2010-04-08,1152.9
2010-04-09,1161.9
2010-04-12,1162.2
2010-04-13,1153.4
2010-04-14,1159.6
2010-04-15,1160.3
2010-04-16,1136.9
2010-04-19,1135.8
2010-04-20,1139.2
2010-04-21,1148.8
2010-04-22,1142.9
2010-04-23,1153.7
2010-04-26,1154.0
2010-04-27,1162.2
2010-04-28,1171.8
2010-04-29,1168.8
2010-04-30,1180.7
2010-05-03,1183.3
2010-05-04,1169.2
2010-05-05,1175.0
2010-05-06,1197.3
2010-05-07,1210.4
2010-05-10,1200.8
2010-05-11,1220.3
2010-05-12,1243.1
2010-05-13,1229.2
2010-05-14,1227.8
2010-05-17,1228.1
2010-05-18,1214.6
2010-05-19,1193.1
2010-05-20,1188.6
2010-05-21,1176.1
2010-05-24,1194.0
2010-05-25,1198.0
2010-05-26,1213.4
2010-05-27,1211.9
2010-05-28,1216.0
2010-06-01,1225.4
2010-06-02,1224.0
2010-06-03,1207.7
2010-06-04,1221.9
2010-06-07,1239.9
2010-06-08,1239.4
2010-06-09,1232.4
2010-06-10,1222.5
2010-06-11,1229.4
2010-06-14,1222.1
2010-06-15,1235.7
2010-06-16,1233.8
2010-06-17,1245.4
2010-06-18,1258.3
2010-06-21,1240.6
2010-06-22,1241.2
2010-06-23,1238.9
2010-06-24,1245.2
2010-06-25,1256.6
2010-06-28,1240.1
2010-06-29,1259.9
2010-06-30,1263.6
2010-07-01,1223.8
2010-07-02,1225.0
2010-07-06,1212.0
2010-07-07,1215.2
2010-07-08,1212.5
2010-07-09,1221.6
2010-07-12,1206.7
2010-07-13,1216.1
2010-07-14,1216.3
2010-07-15,1216.0
2010-07-16,1198.9
2010-07-19,1191.4
2010-07-20,1199.6
2010-07-21,1193.3
2010-07-22,1204.1
2010-07-23,1196.1
2010-07-26,1190.0
2010-07-27,1168.1
2010-07-28,1169.5
2010-07-29,1174.4
2010-07-30,1188.7
2010-08-02,1189.9
2010-08-03,1193.8
2010-08-04,1200.0
2010-08-05,1203.5
2010-08-06,1209.4
2010-08-09,1207.9
2010-08-10,1211.7
2010-08-11,1204.9
2010-08-12,1218.4
2010-08-13,1220.5
2010-08-16,1230.3
2010-08-17,1231.8
2010-08-18,1235.1
2010-08-19,1238.5
2010-08-20,1233.0
2010-08-23,1230.9
2010-08-24,1236.5
2010-08-25,1245.7
2010-08-26,1244.1
2010-08-27,1243.7
2010-08-30,1242.6
2010-08-31,1253.3
2010-09-01,1250.6
2010-09-02,1256.0
2010-09-03,1246.8
2010-09-07,1261.5
2010-09-08,1261.8
2010-09-09,1251.8
2010-09-10,1252.5
2010-09-13,1250.5
2010-09-14,1273.5
2010-09-15,1274.1
2010-09-16,1282.2
2010-09-17,1287.1
2010-09-20,1290.4
2010-09-21,1294.5
2010-09-22,1298.4
2010-09-23,1299.5
2010-09-24,1308.2
2010-09-27,1308.4
2010-09-28,1318.1
2010-09-29,1320.3
2010-09-30,1319.7
2010-10-01,1328.3
2010-10-04,1327.1
2010-10-05,1350.7
2010-10-06,1357.8
2010-10-07,1344.7
2010-10-08,1354.8
2010-10-11,1364.2
2010-10-12,1362.3
2010-10-13,1380.5
2010-10-14,1387.9
2010-10-15,1374.4
2010-10-18,1382.3
2010-10-19,1345.8
2010-10-20,1354.0
2010-10-21,1335.1
2010-10-22,1334.6
2010-10-25,1340.3
2010-10-26,1334.9
2010-10-27,1328.2
2010-10-28,1340.7
2010-10-29,1359.8
2010-11-01,1356.0
2010-11-02,1354.5
2010-11-03,1355.8
2010-11-04,1389.8
2010-11-05,1393.9
2010-11-08,1411.0
2010-11-09,1396.5
2010-11-10,1408.0
2010-11-11,1389.0
2010-11-12,1368.2
2010-11-15,1359.0
2010-11-16,1336.2
