指标名称,期货收盘价(活跃合约):黄金
2010-01-04,245.96
2010-01-05,253.23
2010-01-06,251.1
2010-01-07,252.36
2010-01-08,249.56
2010-01-11,256.85
2010-01-12,257.15
2010-01-13,250.72
2010-01-14,252.97
2010-01-15,252.21
2010-01-18,251.81
2010-01-19,252.39
2010-01-20,251.38
2010-01-21,248.3
2010-01-22,243.32
2010-01-25,245.36
2010-01-26,243.1
2010-01-27,243.81
2010-01-28,241.44
2010-01-29,239.36
2010-02-01,239.56
2010-02-02,244.74
2010-02-03,247.24
2010-02-04,245.11
2010-02-05,235.77
2010-02-08,236.86
2010-02-09,238.47
2010-02-10,239.85
2010-02-11,240.3
2010-02-12,242.2
2010-02-22,248.33
2010-02-23,247.22
2010-02-24,245.06
2010-02-25,242.28
2010-02-26,246.4
2010-03-01,247.79
2010-03-02,247.38
2010-03-03,251.9
2010-03-04,251.05
2010-03-05,251.28
2010-03-08,252.01
2010-03-09,248.36
2010-03-10,249.44
2010-03-11,245.93
2010-03-12,246.82
2010-03-15,244.99
2010-03-16,246.34
2010-03-17,250.13
2010-03-18,248.53
2010-03-19,248.71
2010-03-22,244.99
2010-03-23,244.5
2010-03-24,243.9
2010-03-25,241.8
2010-03-26,243.88
2010-03-29,246.01
2010-03-30,246.46
2010-03-31,245.28
2010-04-01,245.91
2010-04-02,248.03
2010-04-06,248.7
2010-04-07,250.68
2010-04-08,251.8
2010-04-09,253.7
2010-04-12,255.42
2010-04-13,253.45
2010-04-14,254.45
2010-04-15,254.16
2010-04-16,254.23
2010-04-19,249.7
2010-04-20,251.07
2010-04-21,252.56
2010-04-22,252.5
2010-04-23,251.26
2010-04-26,255.41
2010-04-27,254.39
2010-04-28,256.8
2010-04-29,257.08
2010-04-30,258.59
2010-05-04,258.61
2010-05-05,257.33
2010-05-06,258.2
2010-05-07,264.6
2010-05-10,262.75
2010-05-11,265.64
2010-05-12,270.17
2010-05-13,271.14
2010-05-14,271.32
2010-05-17,271.89
2010-05-18,267.62
2010-05-19,266.29
2010-05-20,261.27
2010-05-21,259.72
2010-05-24,262.25
2010-05-25,262.17
2010-05-26,265.8
2010-05-27,266.7
2010-05-28,267.68
2010-05-31,266.54
2010-06-01,268.59
2010-06-02,268.71
2010-06-03,269.18
2010-06-04,264.82
2010-06-07,267.77
2010-06-08,272.9
2010-06-09,271.35
2010-06-10,270.24
2010-06-11,268.44
2010-06-17,271.47
2010-06-18,273.93
2010-06-21,276.98
2010-06-22,271.24
2010-06-23,272.08
2010-06-24,270.75
2010-06-25,272.95
2010-06-28,274.91
2010-06-29,270.6
2010-06-30,272.04
2010-07-01,270.8
2010-07-02,263.12
2010-07-05,264.26
2010-07-06,263.01
2010-07-07,259.4
2010-07-08,263.16
2010-07-09,261.36
2010-07-12,263.3
2010-07-13,261.2
2010-07-14,264.6
2010-07-15,263.75
2010-07-16,263.02
2010-07-19,260.3
2010-07-20,258.85
2010-07-21,259.76
2010-07-22,258.73
2010-07-23,261.46
2010-07-26,261.12
2010-07-27,259.46
2010-07-28,255.18
2010-07-29,256.17
2010-07-30,255.94
2010-08-02,259.25
2010-08-03,258.95
2010-08-04,261.57
2010-08-05,261.4
2010-08-06,262.9
2010-08-09,264.63
2010-08-10,262.0
2010-08-11,262.43
2010-08-12,262.9
2010-08-13,266.73
2010-08-16,267.48
2010-08-17,267.8
2010-08-18,267.55
2010-08-19,268.98
2010-08-20,268.78
2010-08-23,268.6
2010-08-24,266.86
2010-08-25,269.8
2010-08-26,271.11
2010-08-27,270.22
2010-08-30,270.41
2010-08-31,270.28
2010-09-01,274.1
2010-09-02,273.1
2010-09-03,273.72
2010-09-06,273.25
2010-09-07,273.15
2010-09-08,275.33
2010-09-09,273.83
2010-09-10,272.01
2010-09-13,272.08
2010-09-14,272.6
2010-09-15,276.55
2010-09-16,275.95
2010-09-17,278.24
2010-09-20,279.2
2010-09-21,277.4
2010-09-27,281.15
2010-09-28,279.42
2010-09-29,283.19
2010-09-30,284.11
2010-10-08,285.69
2010-10-11,290.85
2010-10-12,289.98
2010-10-13,292.47
2010-10-14,297.47
2010-10-15,297.18
2010-10-18,292.41
2010-10-19,293.34
2010-10-20,286.99
2010-10-21,286.95
2010-10-22,284.41
2010-10-25,291.5
2010-10-26,289.28
2010-10-27,287.83
2010-10-28,287.55
2010-10-29,290.01
2010-11-01,295.27
2010-11-02,294.28
2010-11-03,292.39
2010-11-04,293.67
2010-11-05,301.24
2010-11-08,301.62
2010-11-09,311.23
2010-11-10,305.76
2010-11-11,307.16
2010-11-12,301.0
2010-11-15,295.9
2010-11-16,294.55
2010-11-17,288.4
2010-11-18,292.99
2010-11-19,294.0
2010-11-22,294.31
2010-11-23,294.98
2010-11-24,298.68
2010-11-25,297.45
2010-11-26,295.21
2010-11-29,294.8
2010-11-30,296.31
2010-12-01,303.95
2010-12-02,304.96
2010-12-03,303.65
2010-12-06,308.51
2010-12-07,309.84
2010-12-08,301.3
2010-12-09,300.35
2010-12-10,301.38
2010-12-13,302.34
2010-12-14,305.95
2010-12-15,301.1
2010-12-16,300.25
2010-12-17,299.53
2010-12-20,302.35
2010-12-21,302.38
2010-12-22,302.33
2010-12-23,302.01
2010-12-24,301.5
2010-12-27,301.6
2010-12-28,303.73
2010-12-29,307.1
2010-12-30,308.37
2010-12-31,309.11
2011-01-04,307.81
2011-01-05,299.95
2011-01-06,298.91
2011-01-07,297.01
2011-01-10,299.21
2011-01-11,299.66
2011-01-12,301.06
2011-01-13,299.84
2011-01-14,297.4
2011-01-17,292.75
2011-01-18,294.33
2011-01-19,295.86
2011-01-20,293.3
2011-01-21,290.2
2011-01-24,291.6
2011-01-25,287.75
2011-01-26,288.95
2011-01-27,290.41
2011-01-28,284.73
2011-01-31,288.35
2011-02-01,289.61
2011-02-09,292.96
2011-02-10,292.7
2011-02-11,293.32
2011-02-14,293.0
2011-02-15,293.59
2011-02-16,295.88
2011-02-17,296.06
2011-02-18,297.42
2011-02-21,299.27
2011-02-22,299.5
2011-02-23,299.7
2011-02-24,301.2
2011-02-25,299.61
2011-02-28,301.28
2011-03-01,302.0
2011-03-02,303.58
2011-03-03,301.61
2011-03-04,299.99
2011-03-07,304.33
2011-03-08,301.92
2011-03-09,301.78
2011-03-10,303.17
2011-03-11,299.12
2011-03-14,301.26
2011-03-15,299.38
2011-03-16,296.82
2011-03-17,295.8
2011-03-18,299.05
2011-03-21,303.1
2011-03-22,302.29
2011-03-23,302.42
2011-03-24,303.3
2011-03-25,303.28
2011-03-28,299.9
2011-03-29,299.82
2011-03-30,300.35
2011-03-31,301.26
2011-04-01,301.89
2011-04-06,306.13
2011-04-07,305.33
2011-04-08,307.8
2011-04-11,307.47
2011-04-12,305.89
2011-04-13,307.11
2011-04-14,307.69
2011-04-15,308.32
2011-04-18,312.22
2011-04-19,311.25
2011-04-20,314.54
2011-04-21,315.14
2011-04-22,315.64
2011-04-25,316.69
2011-04-26,312.8
2011-04-27,313.36
2011-04-28,318.1
2011-04-29,317.4
2011-05-03,317.15
2011-05-04,314.21
2011-05-05,313.11
2011-05-06,309.38
2011-05-09,310.9
2011-05-10,312.09
2011-05-11,314.64
2011-05-12,310.1
2011-05-13,314.24
2011-05-16,310.9
2011-05-17,311.59
2011-05-18,310.86
2011-05-19,312.37
2011-05-20,313.24
2011-05-23,314.14
2011-05-24,317.09
2011-05-25,317.23
2011-05-26,317.9
2011-05-27,317.54
2011-05-30,319.49
2011-05-31,320.01
2011-06-01,317.53
2011-06-02,320.25
2011-06-03,319.35
2011-06-07,321.3
2011-06-08,320.05
2011-06-09,319.0
2011-06-10,320.56
2011-06-13,318.5
2011-06-14,317.11
2011-06-15,317.19
2011-06-16,318.15
2011-06-17,317.66
2011-06-20,320.27
2011-06-21,321.31
2011-06-22,321.2
2011-06-23,321.07
2011-06-24,316.82
2011-06-27,311.52
2011-06-28,312.16
2011-06-29,313.57
2011-06-30,314.18
2011-07-01,311.8
2011-07-04,311.95
2011-07-05,311.24
2011-07-06,316.56
2011-07-07,319.55
2011-07-08,319.19
2011-07-11,321.86
2011-07-12,322.07
2011-07-13,326.66
2011-07-14,329.67
2011-07-15,328.11
2011-07-18,332.48
2011-07-19,334.11
2011-07-20,330.59
2011-07-21,333.45
2011-07-22,330.2
2011-07-25,336.1
2011-07-26,335.41
2011-07-27,336.62
2011-07-28,335.2
2011-07-29,334.5
2011-08-01,333.51
2011-08-02,335.58
2011-08-03,345.3
2011-08-04,345.62
2011-08-05,344.08
2011-08-08,354.47
2011-08-09,362.46
2011-08-10,361.78
2011-08-11,367.43
2011-08-12,362.99
2011-08-15,360.27
2011-08-16,366.46
2011-08-17,369.31
2011-08-18,370.38
2011-08-19,383.8
2011-08-22,392.38
2011-08-23,391.69
2011-08-24,380.9
2011-08-25,363.51
2011-08-26,367.8
2011-08-29,376.79
2011-08-30,372.3
2011-08-31,380.19
2011-09-01,376.35
2011-09-02,381.24
2011-09-05,390.6
2011-09-06,395.25
2011-09-07,378.7
2011-09-08,382.0
2011-09-09,388.31
2011-09-13,378.59
2011-09-14,378.33
2011-09-15,375.54
2011-09-16,365.91
2011-09-19,377.95
2011-09-20,368.8
2011-09-21,375.2
2011-09-22,367.01
2011-09-23,361.24
2011-09-26,341.94
2011-09-27,341.44
2011-09-28,341.25
2011-09-29,335.09
2011-09-30,338.39
2011-10-10,341.63
2011-10-11,345.93
