指标名称,期货结算价(活跃合约):COMEX铜
2010-01-04,3.406
2010-01-05,3.4135
2010-01-06,3.4945
2010-01-07,3.427
2010-01-08,3.4005
2010-01-11,3.441
2010-01-12,3.3495
2010-01-13,3.4
2010-01-14,3.3875
2010-01-15,3.366
2010-01-19,3.447
2010-01-20,3.355
2010-01-21,3.295
2010-01-22,3.347
2010-01-25,3.393
2010-01-26,3.3395
2010-01-27,3.2225
2010-01-28,3.098
2010-01-29,3.0525
2010-02-01,3.0835
2010-02-02,3.0895
2010-02-03,2.9735
2010-02-04,2.879
2010-02-05,2.8575
2010-02-08,2.913
2010-02-09,2.987
2010-02-10,2.989
2010-02-11,3.1515
2010-02-12,3.102
2010-02-16,3.2395
2010-02-17,3.259
2010-02-18,3.3055
2010-02-19,3.379
2010-02-22,3.3285
2010-02-23,3.2345
2010-02-24,3.2535
2010-02-25,3.21
2010-02-26,3.284
2010-03-01,3.35
2010-03-02,3.4115
2010-03-03,3.435
2010-03-04,3.3755
2010-03-05,3.4175
2010-03-08,3.4105
2010-03-09,3.4115
2010-03-10,3.368
2010-03-11,3.377
2010-03-12,3.38
2010-03-15,3.315
2010-03-16,3.365
2010-03-17,3.418
2010-03-18,3.3955
2010-03-19,3.3725
2010-03-22,3.3805
2010-03-23,3.379
2010-03-24,3.3455
2010-03-25,3.3805
2010-03-26,3.403
2010-03-29,3.5355
2010-03-30,3.5635
2010-03-31,3.5535
2010-04-01,3.584
2010-04-05,3.6315
2010-04-06,3.617
2010-04-07,3.5975
2010-04-08,3.5865
2010-04-09,3.59
2010-04-12,3.5645
2010-04-13,3.6005
2010-04-14,3.6105
2010-04-15,3.621
2010-04-16,3.5355
2010-04-19,3.518
2010-04-20,3.5355
2010-04-21,3.5575
2010-04-22,3.5065
2010-04-23,3.5305
2010-04-26,3.548
2010-04-27,3.3825
2010-04-28,3.3865
2010-04-29,3.3505
2010-04-30,3.3535
2010-05-03,3.2935
2010-05-04,3.1785
2010-05-05,3.1515
2010-05-06,3.117
2010-05-07,3.1445
2010-05-10,3.228
2010-05-11,3.2065
2010-05-12,3.188
2010-05-13,3.2315
2010-05-14,3.134
2010-05-17,2.932
2010-05-18,3.031
2010-05-19,2.9595
2010-05-20,2.9445
2010-05-21,3.061
2010-05-24,3.1475
2010-05-25,3.042
2010-05-26,3.0805
2010-05-27,3.1585
2010-05-28,3.1045
2010-06-01,3.063
2010-06-02,3.0405
2010-06-03,2.9465
2010-06-04,2.8195
2010-06-07,2.766
2010-06-08,2.7795
2010-06-09,2.85
2010-06-10,2.8625
2010-06-11,2.904
2010-06-14,3.0125
2010-06-15,3.024
2010-06-16,3.0135
2010-06-17,2.924
2010-06-18,2.9015
