指标名称,期货结算价(活跃合约):阴极铜
2010-01-04,60370.0
2010-01-05,60360.0
2010-01-06,61400.0
2010-01-07,61860.0
2010-01-08,60500.0
2010-01-11,61990.0
2010-01-12,61480.0
2010-01-13,59860.0
2010-01-14,60880.0
2010-01-15,60570.0
2010-01-18,60560.0
2010-01-19,61450.0
2010-01-20,61500.0
2010-01-21,60790.0
2010-01-22,59370.0
2010-01-25,59690.0
2010-01-26,59770.0
2010-01-27,59540.0
2010-01-28,57600.0
2010-01-29,56170.0
2010-02-01,54140.0
2010-02-02,54790.0
2010-02-03,55340.0
2010-02-04,53940.0
2010-02-05,51880.0
2010-02-08,52640.0
2010-02-09,52840.0
2010-02-10,54140.0
2010-02-11,55360.0
2010-02-12,56280.0
2010-02-22,59280.0
2010-02-23,58680.0
2010-02-24,58130.0
2010-02-25,58360.0
2010-02-26,58240.0
2010-03-01,60570.0
2010-03-02,59730.0
2010-03-03,59720.0
2010-03-04,59870.0
2010-03-05,59550.0
2010-03-08,60470.0
2010-03-09,60270.0
2010-03-10,60550.0
2010-03-11,59720.0
2010-03-12,59490.0
2010-03-15,58600.0
2010-03-16,58360.0
2010-03-17,59660.0
2010-03-18,59820.0
2010-03-19,60090.0
2010-03-22,59630.0
2010-03-23,59850.0
2010-03-24,59480.0
2010-03-25,59160.0
2010-03-26,59770.0
2010-03-29,61780.0
2010-03-30,62140.0
2010-03-31,61970.0
2010-04-01,62380.0
2010-04-02,62710.0
2010-04-06,63380.0
2010-04-07,63140.0
2010-04-08,62380.0
2010-04-09,62790.0
2010-04-12,63260.0
2010-04-13,62470.0
2010-04-14,62900.0
2010-04-15,62790.0
2010-04-16,62420.0
2010-04-19,60560.0
2010-04-20,60640.0
2010-04-21,60650.0
2010-04-22,60740.0
2010-04-23,60790.0
2010-04-26,61450.0
2010-04-27,60690.0
2010-04-28,58380.0
2010-04-29,58920.0
2010-04-30,58710.0
2010-05-04,58120.0
2010-05-05,56580.0
2010-05-06,56840.0
2010-05-07,55020.0
2010-05-10,56130.0
2010-05-11,56300.0
2010-05-12,55990.0
2010-05-13,56500.0
2010-05-14,56420.0
2010-05-17,54270.0
2010-05-18,52950.0
2010-05-19,52810.0
2010-05-20,53940.0
2010-05-21,53360.0
2010-05-24,54790.0
2010-05-25,54560.0
2010-05-26,54820.0
2010-05-27,54790.0
2010-05-28,55790.0
2010-05-31,55470.0
2010-06-01,54440.0
2010-06-02,53420.0
2010-06-03,53840.0
2010-06-04,52740.0
2010-06-07,50100.0
2010-06-08,49410.0
2010-06-09,49780.0
2010-06-10,50450.0
2010-06-11,51350.0
2010-06-17,52020.0
2010-06-18,51360.0
2010-06-21,52710.0
2010-06-22,52840.0
2010-06-23,52950.0
2010-06-24,53610.0
2010-06-25,53400.0
2010-06-28,54130.0
2010-06-29,53350.0
2010-06-30,51560.0
2010-07-01,51440.0
2010-07-02,51680.0
2010-07-05,52230.0
2010-07-06,51980.0
2010-07-07,52280.0
2010-07-08,53190.0
2010-07-09,53410.0
2010-07-12,53450.0
2010-07-13,52660.0
2010-07-14,52980.0
2010-07-15,52910.0
2010-07-16,52960.0
2010-07-19,52210.0
2010-07-20,52770.0
2010-07-21,53440.0
2010-07-22,53770.0
2010-07-23,55110.0
2010-07-26,55420.0
2010-07-27,55430.0
2010-07-28,55570.0
2010-07-29,56140.0
2010-07-30,56180.0
2010-08-02,57520.0
2010-08-03,57800.0
2010-08-04,57380.0
2010-08-05,57800.0
2010-08-06,57440.0
2010-08-09,58090.0
2010-08-10,57550.0
2010-08-11,57120.0
2010-08-12,56310.0
2010-08-13,56870.0
