指标名称,深证成份指数
2010-01-04,13533.537
2010-01-05,13517.375
2010-01-06,13505.184
2010-01-07,13235.48
2010-01-08,13267.436
2010-01-11,13161.09
2010-01-12,13381.25
2010-01-13,13016.557
2010-01-14,13204.189
2010-01-15,13264.372
2010-01-18,13361.518
2010-01-19,13350.671
2010-01-20,12916.154
2010-01-21,12917.154
2010-01-22,12595.935
2010-01-25,12470.188
2010-01-26,12162.556
2010-01-27,12046.779
2010-01-28,12120.476
2010-01-29,12137.204
2010-02-01,11989.107
2010-02-02,11912.927
2010-02-03,12262.567
2010-02-04,12169.479
2010-02-05,11917.136
2010-02-08,11947.336
2010-02-09,11970.438
2010-02-10,12185.378
2010-02-11,12224.6
2010-02-12,12304.784
2010-02-22,12213.544
2010-02-23,12069.209
2010-02-24,12282.093
2010-02-25,12494.269
2010-02-26,12436.655
2010-03-01,12588.26
2010-03-02,12548.91
2010-03-03,12612.693
2010-03-04,12312.889
2010-03-05,12341.739
2010-03-08,12437.567
2010-03-09,12507.657
2010-03-10,12391.645
2010-03-11,12367.687
2010-03-12,12169.11
2010-03-15,11903.333
2010-03-16,11948.76
2010-03-17,12233.774
2010-03-18,12236.725
2010-03-19,12352.919
2010-03-22,12352.446
2010-03-23,12304.981
2010-03-24,12290.043
2010-03-25,12086.899
2010-03-26,12240.356
2010-03-29,12552.449
2010-03-30,12593.035
2010-03-31,12494.35
2010-04-01,12686.063
2010-04-02,12767.856
2010-04-06,12702.835
2010-04-07,12631.971
2010-04-08,12427.002
2010-04-09,12555.123
2010-04-12,12399.2
2010-04-13,12511.891
2010-04-14,12557.695
2010-04-15,12513.291
2010-04-16,12416.86
2010-04-19,11644.577
2010-04-20,11538.976
2010-04-21,11766.815
2010-04-22,11703.962
2010-04-23,11702.87
2010-04-26,11602.634
2010-04-27,11355.367
2010-04-28,11333.847
2010-04-29,11196.349
2010-04-30,11162.537
2010-05-04,10960.771
2010-05-05,11003.731
2010-05-06,10422.564
2010-05-07,10146.425
2010-05-10,10264.045
2010-05-11,10091.204
2010-05-12,10146.632
2010-05-13,10417.805
2010-05-14,10330.141
2010-05-17,9731.718
2010-05-18,10003.807
2010-05-19,9991.401
2010-05-20,9945.551
2010-05-21,10209.069
2010-05-24,10620.125
2010-05-25,10365.225
2010-05-26,10361.697
2010-05-27,10543.333
2010-05-28,10495.652
2010-05-31,10204.174
2010-06-01,10098.454
2010-06-02,10188.141
2010-06-03,10118.039
2010-06-04,10187.203
2010-06-07,9992.674
2010-06-08,10038.784
2010-06-09,10346.27
2010-06-10,10222.218
2010-06-11,10239.333
2010-06-17,10162.365
2010-06-18,9966.538
2010-06-21,10309.605
2010-06-22,10345.547
2010-06-23,10256.266
2010-06-24,10250.901
2010-06-25,10104.831
2010-06-28,10012.055
2010-06-29,9508.905
2010-06-30,9386.937
2010-07-01,9203.909
2010-07-02,9227.888
2010-07-05,9171.029
2010-07-06,9363.016
2010-07-07,9485.43
2010-07-08,9465.799
2010-07-09,9816.855
2010-07-12,9959.218
2010-07-13,9801.76
2010-07-14,9803.72
2010-07-15,9718.725
2010-07-16,9806.639
2010-07-19,10097.104
2010-07-20,10339.429
2010-07-21,10324.126
2010-07-22,10471.774
2010-07-23,10527.945
2010-07-26,10591.125
2010-07-27,10566.207
2010-07-28,10825.167
2010-07-29,10838.91
2010-07-30,10785.346
2010-08-02,11004.744
2010-08-03,10830.699
2010-08-04,10870.382
2010-08-05,10768.078
2010-08-06,10942.933
2010-08-09,11017.413
2010-08-10,10715.394
2010-08-11,10806.625
2010-08-12,10680.018
2010-08-13,10886.568
2010-08-16,11164.789
2010-08-17,11281.966
2010-08-18,11282.333
2010-08-19,11321.167
2010-08-20,11090.459
2010-08-23,11078.855
2010-08-24,11214.237
2010-08-25,10963.985
2010-08-26,11009.49
2010-08-27,11034.734
2010-08-30,11303.328
2010-08-31,11338.714
2010-09-01,11318.739
2010-09-02,11465.153
2010-09-03,11467.09
2010-09-06,11656.081
2010-09-07,11682.698
2010-09-08,11722.782
2010-09-09,11465.346
2010-09-10,11530.987
2010-09-13,11690.349
2010-09-14,11665.41
2010-09-15,11412.101
2010-09-16,11164.021
2010-09-17,11208.252
2010-09-20,11150.329
2010-09-21,11210.741
2010-09-27,11409.813
2010-09-28,11274.485
2010-09-29,11223.862
2010-09-30,11468.543
2010-10-08,11911.369
2010-10-11,12237.648
2010-10-12,12373.279
2010-10-13,12602.995
2010-10-14,12507.71
2010-10-15,12765.501
2010-10-18,12649.27
2010-10-19,12970.198
2010-10-20,13130.012
2010-10-21,13111.52
2010-10-22,13224.978
2010-10-25,13734.197
2010-10-26,13729.963
2010-10-27,13452.171
2010-10-28,13445.025
2010-10-29,13367.236
2010-11-01,13743.771
