指标名称,现货价:原油(中国大庆):环太平洋
2010-01-04,78.42
2010-01-05,80.32
2010-01-06,80.34
2010-01-07,80.84
2010-01-08,80.7
2010-01-11,80.9
2010-01-12,79.51
2010-01-13,77.45
2010-01-14,77.64
2010-01-15,76.51
2010-01-18,75.39
2010-01-19,74.98
2010-01-20,75.06
2010-01-21,74.39
2010-01-22,72.98
2010-01-25,71.0
2010-01-26,71.07
2010-01-27,71.01
2010-01-28,70.79
2010-01-29,70.07
2010-02-01,69.18
2010-02-02,71.04
2010-02-03,74.21
2010-02-04,73.01
2010-02-05,68.85
2010-02-08,68.48
2010-02-09,68.91
2010-02-10,70.13
2010-02-11,71.23
2010-02-12,71.93
2010-02-17,74.44
2010-02-18,73.62
2010-02-19,74.74
2010-02-22,76.45
2010-02-23,76.49
2010-02-24,75.3
2010-02-25,75.85
2010-02-26,74.25
2010-03-01,75.99
2010-03-02,74.66
2010-03-03,75.73
2010-03-04,76.05
2010-03-05,76.1
2010-03-08,77.31
2010-03-09,76.65
2010-03-10,76.32
2010-03-11,76.66
2010-03-12,76.88
2010-03-15,75.73
2010-03-16,74.09
2010-03-17,76.46
2010-03-18,76.23
2010-03-19,77.79
2010-03-22,77.48
2010-03-23,78.24
2010-03-24,77.81
2010-03-25,77.81
2010-03-26,78.22
2010-03-29,78.55
2010-03-30,80.31
2010-03-31,80.28
2010-04-01,81.43
2010-04-05,83.79
2010-04-06,84.9
2010-04-07,85.14
2010-04-08,84.36
2010-04-09,84.73
2010-04-12,84.89
2010-04-13,84.02
2010-04-14,84.35
2010-04-15,85.16
2010-04-16,85.68
2010-04-19,82.87
2010-04-20,83.62
2010-04-21,83.99
2010-04-22,84.42
2010-04-23,84.15
2010-04-26,85.92
2010-04-27,85.13
2010-04-28,83.68
2010-04-29,84.84
2010-04-30,85.74
2010-05-03,85.72
2010-05-04,87.04
2010-05-05,83.66
2010-05-06,80.83
2010-05-07,78.4
2010-05-10,81.18
2010-05-11,79.58
2010-05-12,80.9
2010-05-13,81.02
2010-05-14,78.94
2010-05-17,75.6
2010-05-18,74.8
2010-05-19,72.21
2010-05-20,72.24
2010-05-21,69.44
2010-05-24,70.09
2010-05-25,68.15
2010-05-26,69.41
2010-05-27,71.25
2010-05-31,73.74
2010-06-01,71.68
2010-06-02,70.41
2010-06-03,73.1
2010-06-04,73.7
2010-06-07,69.63
2010-06-08,70.62
2010-06-09,70.7
2010-06-10,71.97
2010-06-11,73.14
2010-06-14,73.81
2010-06-15,73.43
2010-06-16,74.69
2010-06-17,76.29
2010-06-18,76.4
2010-06-21,77.37
2010-06-22,76.49
2010-06-23,76.3
2010-06-24,74.37
2010-06-25,74.57
2010-06-28,76.11
2010-06-29,73.88
