指标名称,现货价:原油(中国胜利):环太平洋
2010-01-04,76.01
2010-01-05,78.71
2010-01-06,77.9
2010-01-07,80.36
2010-01-08,79.68
2010-01-11,79.75
2010-01-12,78.51
2010-01-13,75.91
2010-01-14,76.0
2010-01-15,74.73
2010-01-18,73.2
2010-01-19,72.85
2010-01-20,73.02
2010-01-21,72.48
2010-01-22,71.0
2010-01-25,69.32
2010-01-26,69.39
2010-01-27,69.63
2010-01-28,69.26
2010-01-29,68.54
2010-02-01,67.65
2010-02-02,69.16
2010-02-03,72.13
2010-02-04,70.93
2010-02-05,66.77
2010-02-08,65.73
2010-02-09,66.0
2010-02-10,67.13
2010-02-11,68.13
2010-02-12,68.63
2010-02-17,70.65
2010-02-18,69.57
2010-02-19,70.5
2010-02-22,72.02
2010-02-23,72.11
2010-02-24,70.93
2010-02-25,71.48
2010-02-26,69.73
2010-03-01,71.64
2010-03-02,70.4
2010-03-03,71.7
2010-03-04,72.3
2010-03-05,72.46
2010-03-08,73.22
2010-03-09,72.73
2010-03-10,72.35
2010-03-11,72.74
2010-03-12,73.09
2010-03-15,71.98
2010-03-16,70.45
2010-03-17,72.82
2010-03-18,72.43
2010-03-19,72.9
2010-03-22,71.18
2010-03-23,71.75
2010-03-24,71.82
2010-03-25,71.85
2010-03-26,72.51
2010-03-29,74.11
2010-03-30,76.81
2010-03-31,76.75
2010-04-01,77.51
2010-04-05,79.08
2010-04-06,80.96
2010-04-07,80.81
2010-04-08,80.31
2010-04-09,80.52
2010-04-12,80.04
2010-04-13,80.61
2010-04-14,80.77
2010-04-15,82.11
2010-04-16,82.26
2010-04-19,80.51
2010-04-20,81.81
2010-04-21,81.91
2010-04-22,82.51
2010-04-23,81.8
2010-04-26,83.99
2010-04-27,83.4
2010-04-28,81.6
2010-04-29,81.86
2010-04-30,82.53
2010-05-03,83.48
2010-05-04,85.07
2010-05-05,81.69
2010-05-06,78.85
2010-05-07,76.29
2010-05-10,77.93
2010-05-11,76.22
2010-05-12,78.99
2010-05-13,79.14
2010-05-14,77.22
2010-05-17,73.48
2010-05-18,72.9
2010-05-19,70.38
2010-05-20,70.78
2010-05-21,68.34
2010-05-24,69.08
2010-05-25,66.74
2010-05-26,67.84
2010-05-27,69.65
2010-05-31,71.93
2010-06-01,69.7
2010-06-02,68.9
2010-06-03,71.26
2010-06-04,71.76
2010-06-07,66.88
2010-06-08,67.8
2010-06-09,67.81
2010-06-10,69.1
2010-06-11,69.84
2010-06-14,70.38
2010-06-15,69.57
2010-06-16,70.65
2010-06-17,72.96
2010-06-18,73.93
2010-06-21,75.41
2010-06-22,74.31
2010-06-23,74.61
2010-06-24,72.71
2010-06-25,73.01
2010-06-28,74.51
2010-06-29,72.91
2010-06-30,72.51
2010-07-01,70.84
2010-07-02,69.51
2010-07-05,69.06
2010-07-06,68.91
2010-07-07,68.36
2010-07-08,71.01
2010-07-09,72.26
2010-07-12,72.06
2010-07-13,71.16
2010-07-14,73.86
2010-07-15,73.31
2010-07-16,72.81
2010-07-19,72.16
2010-07-20,72.96
2010-07-21,73.46
2010-07-22,72.41
2010-07-23,74.51
2010-07-26,73.81
2010-07-27,73.85
2010-07-28,72.13
2010-07-29,72.04
2010-07-30,72.39
2010-08-02,73.97
2010-08-03,75.41
2010-08-04,75.97
2010-08-05,75.67
2010-08-06,75.14
2010-08-10,73.57
2010-08-11,72.72
2010-08-12,70.87
2010-08-13,69.87
2010-08-16,69.25
2010-08-17,69.52
2010-08-18,70.0
2010-08-19,69.98
2010-08-20,68.54
2010-08-23,67.33
2010-08-24,66.15
2010-08-25,66.16
2010-08-26,67.58
2010-08-27,68.8
2010-08-30,70.15
2010-08-31,69.15
2010-09-01,68.2
2010-09-02,68.96
2010-09-03,69.67
2010-09-06,70.39
2010-09-07,69.89
2010-09-08,70.97
2010-09-09,72.2
2010-09-13,72.15
2010-09-14,72.29
2010-09-15,71.65
2010-09-16,71.65
2010-09-17,71.98
2010-09-20,71.32
2010-09-21,72.31
2010-09-22,71.18
2010-09-23,70.9
2010-09-24,71.46
2010-09-27,72.25
2010-09-28,71.22
2010-09-29,72.02
2010-09-30,72.92
2010-10-01,74.45
2010-10-04,77.11
2010-10-05,79.0
2010-10-06,80.8
2010-10-07,80.98
2010-10-08,78.61
2010-10-11,79.91
2010-10-12,78.71
2010-10-13,80.21
2010-10-14,81.01
2010-10-15,80.11
2010-10-18,77.51
2010-10-19,79.81
2010-10-20,78.01
2010-10-21,79.51
2010-10-22,78.21
2010-10-25,79.84
2010-10-26,79.11
2010-10-27,78.91
2010-10-28,79.31
2010-10-29,78.75
