指标名称,现货价:原油:美国西德克萨斯中级轻质原油(WTI)
2010-01-04,81.59
2010-01-05,81.84
2010-01-06,83.2
2010-01-07,82.65
2010-01-08,82.84
2010-01-11,82.27
2010-01-12,80.71
2010-01-13,79.72
2010-01-14,79.38
2010-01-15,78.05
2010-01-19,79.08
2010-01-20,77.06
2010-01-21,75.63
2010-01-22,74.0
2010-01-25,74.93
2010-01-26,74.69
2010-01-27,73.59
2010-01-28,73.88
2010-01-29,72.79
2010-02-01,74.74
2010-02-02,77.36
2010-02-03,76.96
2010-02-04,72.94
2010-02-05,71.87
2010-02-08,71.85
2010-02-09,73.86
2010-02-10,74.5
2010-02-11,75.17
2010-02-12,74.16
2010-02-16,77.07
2010-02-17,77.39
2010-02-18,78.95
2010-02-19,79.82
2010-02-22,79.99
2010-02-23,78.72
2010-02-24,79.68
2010-02-25,77.93
2010-02-26,79.67
2010-03-01,78.69
2010-03-02,79.85
2010-03-03,80.84
2010-03-04,80.38
2010-03-05,81.73
2010-03-08,81.79
2010-03-09,81.33
2010-03-10,82.0
2010-03-11,82.17
2010-03-12,81.23
2010-03-15,79.72
2010-03-16,81.79
2010-03-17,82.79
2010-03-18,82.11
2010-03-19,80.55
2010-03-22,81.45
2010-03-23,81.57
2010-03-24,80.16
2010-03-25,80.22
2010-03-26,80.06
2010-03-29,82.37
2010-03-30,82.54
2010-03-31,83.51
2010-04-01,85.06
2010-04-05,86.73
2010-04-06,86.89
2010-04-07,85.57
2010-04-08,85.67
2010-04-09,84.92
2010-04-12,84.39
2010-04-13,84.03
2010-04-14,85.98
2010-04-15,85.48
2010-04-16,83.12
2010-04-19,81.59
2010-04-20,83.04
2010-04-21,82.94
2010-04-22,82.93
2010-04-23,84.36
2010-04-26,83.92
2010-04-27,82.12
2010-04-28,83.2
2010-04-29,85.17
2010-04-30,86.14
2010-05-03,86.16
2010-05-04,82.75
2010-05-05,79.77
2010-05-06,76.09
2010-05-07,75.11
2010-05-10,77.09
2010-05-11,76.06
2010-05-12,75.44
2010-05-13,74.17
2010-05-14,71.65
2010-05-17,70.32
2010-05-18,69.36
2010-05-19,70.62
2010-05-20,68.47
2010-05-21,67.64
2010-05-24,66.11
2010-05-25,65.58
2010-05-26,71.41
2010-05-27,74.48
2010-05-28,74.14
2010-06-01,72.69
2010-06-02,73.56
2010-06-03,74.49
2010-06-04,71.22
2010-06-07,71.46
2010-06-08,71.89
2010-06-09,73.97
2010-06-10,75.41
2010-06-11,73.93
2010-06-14,75.08
2010-06-15,76.79
2010-06-16,77.67
2010-06-17,76.44
2010-06-18,77.33
2010-06-21,77.52
2010-06-22,77.08
2010-06-23,75.59
2010-06-24,76.04
2010-06-25,78.63
2010-06-28,78.18
2010-06-29,75.78
2010-06-30,75.68
2010-07-01,72.54
2010-07-02,71.68
2010-07-06,72.03
2010-07-07,74.24
2010-07-08,75.74
2010-07-09,76.26
2010-07-12,74.87
2010-07-13,77.29
2010-07-14,76.85
2010-07-15,76.53
2010-07-16,75.88
2010-07-19,76.64
2010-07-20,77.31
2010-07-21,76.23
2010-07-22,79.0
2010-07-23,78.82
2010-07-26,78.96
2010-07-27,77.61
2010-07-28,76.87
2010-07-29,78.52
2010-07-30,78.9
2010-08-02,81.55
2010-08-03,82.58
2010-08-04,82.46
2010-08-05,82.18
2010-08-06,80.85
2010-08-09,81.5
2010-08-10,80.13
2010-08-11,77.9
